circuitId;circuitRef;name;location;country;lat;lng;alt;url;flag_url;picture_url
32;rodriguez;Autódromo Hermanos Rodríguez;Mexico City;Mexico;194042;-990907;2227;http://en.wikipedia.org/wiki/Aut%C3%B3dromo_Hermanos_Rodr%C3%ADguez;https://www.worldometers.info//img/flags/small/tn_mx-flag.gif;https://upload.wikimedia.org/wikipedia/commons/thumb/3/36/Aut%C3%B3dromo_Hermanos_Rodr%C3%ADguez_2015.svg/1024px-Aut%C3%B3dromo_Hermanos_Rodr%C3%ADguez_2015.svg.png
33;phoenix;Phoenix street circuit;Phoenix;USA;334479;-112075;345;http://en.wikipedia.org/wiki/Phoenix_street_circuit;https://www.worldometers.info//img/flags/small/tn_us-flag.gif;https://upload.wikimedia.org/wikipedia/commons/thumb/f/fa/Phoenix_Grand_Prix_Route_-_1991.svg/1920px-Phoenix_Grand_Prix_Route_-_1991.svg.png
34;ricard;Circuit Paul Ricard;Le Castellet;France;432506;579167;432;http://en.wikipedia.org/wiki/Paul_Ricard_Circuit;https://www.worldometers.info//img/flags/small/tn_fr-flag.gif;https://upload.wikimedia.org/wikipedia/commons/thumb/f/f2/Le_Castellet_circuit_map_Formula_One_2019_and_2021_with_corner_names_English_19_07_2021.svg/1024px-Le_Castellet_circuit_map_Formula_One_2019_and_2021_with_corner_names_English_19_07_2021.svg.png
35;yeongam;Korean International Circuit;Yeongam County;Korea;347333;126417;0;http://en.wikipedia.org/wiki/Korean_International_Circuit;https://www.worldometers.info//img/flags/small/tn_ks-flag.gif;https://upload.wikimedia.org/wikipedia/commons/thumb/2/29/Korea_international_circuit_v3.svg/1024px-Korea_international_circuit_v3.svg.png
36;jacarepagua;Autódromo Internacional Nelson Piquet;Rio de Janeiro;Brazil;-229756;-43395;1126;http://en.wikipedia.org/wiki/Aut%C3%B3dromo_Internacional_Nelson_Piquet;https://www.worldometers.info//img/flags/small/tn_br-flag.gif;https://upload.wikimedia.org/wikipedia/commons/thumb/f/f5/Jacarepagu%C3%A1.svg/1920px-Jacarepagu%C3%A1.svg.png
37;detroit;Detroit Street Circuit;Detroit;USA;423298;-830401;177;http://en.wikipedia.org/wiki/Detroit_street_circuit;https://www.worldometers.info//img/flags/small/tn_us-flag.gif;https://upload.wikimedia.org/wikipedia/commons/thumb/3/38/Downtown_Detroit_Street_Circuit.svg/1280px-Downtown_Detroit_Street_Circuit.svg.png
38;brands_hatch;Brands Hatch;Kent;UK;513569;0.263056;145;http://en.wikipedia.org/wiki/Brands_Hatch;https://www.worldometers.info//img/flags/small/tn_uk-flag.gif;https://upload.wikimedia.org/wikipedia/commons/thumb/4/45/Brands_Hatch_2003.svg/800px-Brands_Hatch_2003.svg.png
39;zandvoort;Circuit Park Zandvoort;Zandvoort;Netherlands;523888;454092;6;http://en.wikipedia.org/wiki/Circuit_Zandvoort;https://www.worldometers.info//img/flags/small/tn_nl-flag.gif;https://upload.wikimedia.org/wikipedia/commons/thumb/6/65/Zandvoort_Circuit_vector_map.png/800px-Zandvoort_Circuit_vector_map.png
40;zolder;Zolder;Heusden-Zolder;Belgium;509894;525694;36;http://en.wikipedia.org/wiki/Zolder;https://www.worldometers.info//img/flags/small/tn_be-flag.gif;https://upload.wikimedia.org/wikipedia/commons/thumb/e/e2/Zolder.svg/1920px-Zolder.svg.png
41;dijon;Dijon-Prenois;Dijon;France;473625;489913;484;http://en.wikipedia.org/wiki/Dijon-Prenois;https://www.worldometers.info//img/flags/small/tn_fr-flag.gif;https://upload.wikimedia.org/wikipedia/commons/thumb/d/de/Dijon-Prenois_Circuit.svg/800px-Dijon-Prenois_Circuit.svg.png
42;dallas;Fair Park;Dallas;USA;327774;-967587;139;http://en.wikipedia.org/wiki/Fair_Park;https://www.worldometers.info//img/flags/small/tn_us-flag.gif;https://upload.wikimedia.org/wikipedia/commons/thumb/5/58/Circuit_Fair_Park.svg/1024px-Circuit_Fair_Park.svg.png
43;long_beach;Long Beach;California;USA;337651;-118189;12;http://en.wikipedia.org/wiki/Long_Beach,_California;https://www.worldometers.info//img/flags/small/tn_us-flag.gif;https://upload.wikimedia.org/wikipedia/commons/thumb/7/72/Long_Beach_Street_Circuit_IndyCar.svg/1024px-Long_Beach_Street_Circuit_IndyCar.svg.png
44;las_vegas;Las Vegas Street Circuit;Nevada;USA;361162;-115174;639;http://en.wikipedia.org/wiki/Las_Vegas_Street_Circuit;https://www.worldometers.info//img/flags/small/tn_us-flag.gif;https://upload.wikimedia.org/wikipedia/commons/f/fa/Circuit_Caesars_Palace.png
45;jarama;Jarama;Madrid;Spain;406171;-358558;609;http://en.wikipedia.org/wiki/Circuito_Permanente_Del_Jarama;https://www.worldometers.info//img/flags/small/tn_sp-flag.gif;https://upload.wikimedia.org/wikipedia/commons/thumb/5/5c/Circuito_Permanente_del_Jarama.svg/1024px-Circuito_Permanente_del_Jarama.svg.png
46;watkins_glen;Watkins Glen;New York State;USA;423369;-769272;485;http://en.wikipedia.org/wiki/Watkins_Glen_International;https://www.worldometers.info//img/flags/small/tn_us-flag.gif;https://upload.wikimedia.org/wikipedia/commons/thumb/c/c7/Watkins_Glen_International_Track_Map.svg/1920px-Watkins_Glen_International_Track_Map.svg.png
47;anderstorp;Scandinavian Raceway;Anderstorp;Sweden;572653;136042;153;http://en.wikipedia.org/wiki/Scandinavian_Raceway;https://www.worldometers.info//img/flags/small/tn_sw-flag.gif;https://upload.wikimedia.org/wikipedia/commons/thumb/4/4c/Scandinavian_Raceway.svg/1920px-Scandinavian_Raceway.svg.png
48;mosport;Mosport International Raceway;Ontario;Canada;440481;-786756;332;http://en.wikipedia.org/wiki/Mosport;https://www.worldometers.info//img/flags/small/tn_ca-flag.gif;https://upload.wikimedia.org/wikipedia/commons/thumb/5/51/Mosport-CTMP.svg/1280px-Mosport-CTMP.svg.png
